examId,examName,examStatus,subjectId,subjectName,subjectStatus,unitId,unitName,unitStatus,chapterId,chapterName,chapterStatus,topicId,topicName,topicStatus,conceptId,conceptName,conceptStatus
1,JEE Main,1,3,Chemistry,1,11,Organic Chemistry(OC-1),1,269,Organic Chemistry- Some Basic Principles and Techniques,1,4634,Reaction Intermediates,1,51,Substitution Nucleophilic Bimolecular,1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3607,Methods of Calculation of Indefinite Integrals,1,67,Integration using Partial Fractions,1
1,JEE Main,1,3,Chemistry,1,11,Organic Chemistry(OC-1),1,270,Hydrocarbons,1,4629,Preparation and Properties of Alkenes,1,15,Alkenes Preparation by Dehalogenation of Vicinal Dihalide,1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3607,Methods of Calculation of Indefinite Integrals,1,70,Integration of a Function using Differentiation,1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3608,Special Algebraic Integrations,1,78,Finding Integral of Type ∫dx/(ax²+bx+c)((px+q)^1/2),1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,242,Dual Nature of Radiation and Matter,1,3619,Photoelectric Effect,1,180,Photo electric cell,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,224,Dimensions and Measurement,1,3638,Measurements,1,197,Rounding of Digits,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,224,Dimensions and Measurement,1,3638,Measurements,1,203,Optics related Experiments,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,225,Basic Mathematics,1,3639,Derivative of a Function,1,204,Slope of a line,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,243,Atoms,1,3622,Bohr's Model of Hydrogen Atom,1,210,Ionization energy,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,226,Vectors,1,4617,Algebra of Vectors,1,217,Parallel and anti-parallel vectors,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,243,Atoms,1,3623,Atomic Spectrum,1,218,Hydrogen spectrum,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,226,Vectors,1,4617,Algebra of Vectors,1,222,Scalar or Dot product of Vectors,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,226,Vectors,1,4617,Algebra of Vectors,1,229,Magnitude of vector,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,227,Motion in a Straight Line,1,3643,Distance and Displacement,1,231,Finding distance,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3626,Nuclear Structure and Energy,1,238,Mass energy equivalence,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3626,Nuclear Structure and Energy,1,241,Q values,1
1,JEE Main,1,3,Chemistry,1,12,Organic Chemistry(OC-2),1,271,Haloalkanes and Haloarenes,1,4673,Properties of Haloalkanes and Haloarenes and Polyhalogen Compounds,1,45,Grignard Reagent (RMgX),1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3628,Radioactivity,1,253,Radioactive decay series,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3629,Nuclear Reactions,1,255,Kinematics of nuclear reactions,1
1,JEE Main,1,3,Chemistry,1,12,Organic Chemistry(OC-2),1,272,"Alcohols, Phenols and Ethers",1,4667,"Ethers-Introduction, Preparation and Properties",1,46,Williamson's Synthesis,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3629,Nuclear Reactions,1,257,Nuclear fission,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,245,Semiconductor Electronics,1,3631,P-N Junction Diode & its Characteristics,1,262,Application of junction diode as a rectifier,1
1,JEE Main,1,3,Chemistry,1,11,Organic Chemistry(OC-1),1,269,Organic Chemistry- Some Basic Principles and Techniques,1,4634,Reaction Intermediates,1,50,Substitution Nucleophilic Unimolecular,1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3607,Methods of Calculation of Indefinite Integrals,1,66,Integration by Parts,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,245,Semiconductor Electronics,1,3632,Junction Transistor & Its Characteristics,1,270,transistor as a switch,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,245,Semiconductor Electronics,1,3633,Digital Electronics and Logic Gates,1,271,Logic Gates,1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3608,Special Algebraic Integrations,1,76,Finding Integral of Type ∫(px+q)dx/((ax²+bx+c)^1/2),1
1,JEE Main,1,1,Mathematics,1,19,Integral Calculus,1,314,Indefinite Integration,1,3608,Special Algebraic Integrations,1,84,Finding Integral of Type ∫dx/(((x-a)(x-b))^1/2),1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,247,Electric Charges and Field,1,4627,Coulomb's Law and its Applications,1,272,Methods of Charging,1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,247,Electric Charges and Field,1,3724,Electric Dipole,1,282,Work done in rotating dipole in uniform electric field,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,242,Dual Nature of Radiation and Matter,1,,,,173,Properties of photon,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,242,Dual Nature of Radiation and Matter,1,3618,Matter Waves and Intensity of Light,1,178,"Photon Flux, Radiation Pressure and Force",1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,248,Electrostatic Potential and Capacitance,1,3726,Electrostatic Potential,1,287,Relation Between Electric Field and Potential,1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,248,Electrostatic Potential and Capacitance,1,3727,Capacitors and Capacitance,1,297,Loss of Energy During Redistribution of Charge,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,242,Dual Nature of Radiation and Matter,1,,,,184,Davisson and germer experiment,1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,248,Electrostatic Potential and Capacitance,1,3727,Capacitors and Capacitance,1,301,Dielectric in Capacitors,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,224,Dimensions and Measurement,1,3638,Measurements,1,193,Measurement of Time,1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,249,Current Electricity,1,3728,Electric Current,1,303,Ohm's Law,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,224,Dimensions and Measurement,1,3638,Measurements,1,194,Measurement of Mass,1
1,JEE Main,1,2,Physics,1,8,Electrostatics and Current Electricity,1,249,Current Electricity,1,3733,Electric Power and Energy,1,320,Units of electric energy,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,243,Atoms,1,3622,Bohr's Model of Hydrogen Atom,1,213,Limitations of bohr's model,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,227,Motion in a Straight Line,1,3646,Motion in a Straight Line,1,329,Uniformly accelerated motion in straight line,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,225,Basic Mathematics,1,3640,Integration,1,214,Application of Integration,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,227,Motion in a Straight Line,1,3650,Graphs,1,338,Displacement time graph,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,226,Vectors,1,4617,Algebra of Vectors,1,223,Vector or Cross product of Vectors,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,243,Atoms,1,3625,X-rays,1,234,X Ray Spectra,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,227,Motion in a Straight Line,1,3650,Graphs,1,342,Velocity displacement graph,1
1,JEE Main,1,2,Physics,1,3,Mechanics -1,1,227,Motion in a Straight Line,1,3650,Graphs,1,344,Area under graph,1
1,JEE Main,1,2,Physics,1,7,Modern Physics,1,244,Nuclei,1,3626,Nuclear Structure and Energy,1,239,Binding energy per nucleon,1
